hh_id,b2_1,b2_4,b3_1,b3_2,b3_5
1076,3,3,3,3,2
1077,3,3,3,2,3
1078,3,3,3,2,3
1079,3,2,3,2,3
1080,3,3,3,3,3
1081,3,3,2,3,2
1082,3,3,3,2,2
1083,3,3,2,3,2
1084,3,3,3,2,3
1085,3,3,2,3,3
1086,3,3,3,3,3
1087,3,2,2,3,3
1088,2,2,3,2,3
1089,3,2,2,3,3
1090,3,2,3,2,3
1091,2,3,3,3,3
1092,3,2,2,3,3
1093,3,3,3,2,3
1094,2,2,3,3,3
1095,3,2,3,2,3
1096,3,2,3,3,3
1097,3,2,3,2,3
1098,3,3,3,2,2
1099,3,3,3,3,3
1100,3,2,3,2,3
1101,3,2,2,3,3
1102,3,2,3,3,3
1103,2,2,3,2,2
1104,3,3,3,3,2
1105,3,3,3,2,3
1106,2,3,3,3,2
1107,3,3,3,3,2
1108,3,3,3,3,3
1109,3,2,3,2,2
1110,3,3,2,3,2
1111,3,3,3,2,3
1112,3,2,2,3,2
1113,2,3,3,2,3
1114,3,2,3,3,3
1115,3,3,3,2,3
1116,2,3,3,2,2
1117,3,3,3,3,3
1118,3,3,3,2,2
1119,3,3,3,3,3
1120,3,3,3,2,3
1121,3,3,3,3,3
1122,3,2,3,2,2
1123,2,3,3,3,2
1124,3,3,3,2,3
1125,2,3,3,2,2
1126,3,3,3,2,2
1127,2,3,3,3,3
1128,3,3,2,3,2
1129,3,2,3,2,3
1130,2,3,3,3,3
1131,3,3,3,3,3
1132,3,3,3,2,3
1133,3,2,3,2,3
1134,3,3,2,3,3
1135,2,2,3,3,2
1136,3,3,3,2,2
1137,3,3,3,3,3
1138,3,3,3,3,3
1139,3,3,3,3,3
1140,3,3,3,2,3
1141,3,3,3,2,3
1142,3,2,3,2,2
1143,3,3,3,3,2
1144,2,2,3,2,3
1145,3,3,2,3,3
1146,3,2,3,3,3
1147,3,3,3,3,3
1148,3,2,3,3,3
1149,3,3,3,3,3
1150,2,3,3,3,3
1151,3,3,3,2,3
1152,3,2,3,2,3
1153,3,3,3,2,2
1154,3,3,3,2,3
1155,3,3,3,3,3
2081,3,3,2,3,3
2082,3,3,2,3,3
2083,3,3,3,3,3
2084,3,3,3,3,3
2085,3,3,1,3,3
2086,3,3,3,3,3
2087,3,3,3,3,3
2088,3,3,3,2,3
2089,3,3,3,3,3
2090,3,3,3,3,3
2091,3,3,3,3,3
2092,3,3,3,2,3
2093,3,3,3,3,3
2094,3,3,3,2,3
2095,3,3,3,3,3
2096,3,3,3,3,3
2097,3,3,3,3,3
2098,3,3,3,3,3
2099,3,3,3,3,3
2100,3,3,3,3,3
2101,3,3,3,3,3
2102,3,3,3,3,3
2103,3,3,3,2,3
2104,3,3,3,3,3
2105,3,3,3,3,3
2106,3,3,3,3,3
2107,3,3,3,3,3
2108,3,3,3,3,3
2109,3,3,3,3,3
2110,3,3,3,2,3
2111,3,3,3,3,3
2112,3,3,3,3,3
2113,3,3,3,3,2
2114,3,3,3,2,3
2115,3,3,3,3,3
2116,3,3,3,3,3
2117,3,3,3,3,3
2118,3,3,3,3,3
2119,3,3,3,3,3
2120,3,3,3,3,3
2121,3,3,3,3,3
2124,3,3,3,3,3
2125,3,3,3,3,3
2126,3,3,3,3,3
2127,3,3,3,3,3
2128,3,3,3,2,3
2129,3,3,3,2,3
